"redshift","g.r","g.r_err","fracdeV","type"
0.0382,0.578,0.015,0.05,0
0.0702,0.469,0.017,0.02,0
0.0514,0.518,0.023,0.02,0
0.0433,0.628,0.015,0.45,0
0.0696,0.397,0.032,0.18,0
0.0717,0.394,0.025,0.24,0
0.0726,0.491,0.019,0.03,0
0.0612,0.576,0.018,0.35,0
0.0789,0.616,0.021,0.32,0
0.0513,0.596,0.016,0.11,0
0.0496,0.52,0.016,0.37,0
0.0823,0.588,0.017,0.16,0
0.0831,0.565,0.02,0,0
0.0601,0.608,0.019,0.26,0
0.0742,0.638,0.016,0.19,0
0.0845,0.497,0.022,0.02,0
0.0836,0.628,0.024,0.23,0
0.0587,0.595,0.02,0.27,0
0.0474,0.408,0.023,0.04,0
0.0827,0.661,0.05,0.21,0
0.0634,0.484,0.028,0.19,0
0.0694,0.527,0.016,0.29,0
0.0349,0.539,0.015,0.12,0
0.0769,0.447,0.023,0.23,0
0.0514,0.558,0.017,0.09,0
0.0748,0.452,0.023,0,0
0.0809,0.573,0.017,0.04,0
0.0776,0.527,0.018,0.48,0
0.0777,0.533,0.017,0.49,0
0.0792,0.558,0.021,0.17,0
0.0437,0.509,0.016,0.34,0
0.0456,0.531,0.016,0.23,0
0.0688,0.653,0.018,0.17,0
0.0742,0.527,0.017,0.01,0
0.052,0.534,0.016,0.09,0
0.0561,0.563,0.017,0.27,0
0.0708,0.599,0.02,0.2,0
0.0616,0.443,0.02,0,0
0.0692,0.533,0.016,0.19,0
0.0621,0.415,0.017,0.03,0
0.0507,0.421,0.02,0.04,0
0.057,0.453,0.023,0.12,0
0.0702,0.608,0.018,0.1,0
0.0359,0.467,0.016,0.01,0
0.0528,0.487,0.017,0,0
0.0396,0.354,0.016,0.15,0
0.0774,0.43,0.018,0,0
0.0759,0.221,0.022,0,0
0.0346,0.378,0.019,0,0
0.0594,0.479,0.017,0.04,0
0.0347,0.509,0.017,0.06,0
0.0504,0.431,0.04,0.16,0
0.0462,0.532,0.018,0,0
0.0763,0.457,0.023,0.01,0
0.0631,0.643,0.017,0.03,0
0.0845,0.424,0.021,0.23,0
0.0428,0.641,0.015,0.32,0
0.0527,0.597,0.042,0.26,0
0.0563,0.459,0.025,0.38,0
0.0796,0.598,0.022,0.34,0
0.0815,0.56,0.13,0.24,0
0.0733,0.521,0.017,0.15,0
0.0404,0.615,0.018,0.38,0
0.03,0.323,0.231,0.34,0
0.0597,0.528,0.017,0.18,0
0.0504,0.649,0.017,0.02,0
0.0467,0.441,0.022,0.04,0
0.0507,0.502,0.083,0.14,0
0.0537,0.365,0.019,0.07,0
0.0434,0.38,0.021,0.31,0
0.0696,0.354,0.028,0.07,0
0.0403,0.634,0.015,0.33,0
0.051,0.522,0.02,0,0
0.0508,0.472,0.017,0.03,0
0.0727,0.534,0.019,0,0
0.0664,0.63,0.016,0.06,0
0.0735,0.489,0.019,0.32,0
0.0671,0.593,0.017,0.24,0
0.0562,0.392,0.017,0,0
0.0776,0.554,0.024,0.27,0
0.0574,0.42,0.03,0,0
0.0792,0.598,0.016,0.22,0
0.0574,0.544,0.017,0,0
0.082,0.603,0.017,0.38,0
0.0551,0.544,0.016,0.04,0
0.0415,0.577,0.015,0.37,0
0.0778,0.648,0.018,0.31,0
0.0429,0.585,0.019,0.04,0
0.0638,0.457,0.02,0.24,0
0.0363,0.448,0.015,0.35,0
0.0666,0.571,0.024,0.06,0
0.0474,0.529,0.017,0,0
0.0345,0.508,0.032,0.21,0
0.0724,0.574,0.016,0.01,0
0.063,0.507,0.017,0,0
0.0426,0.584,0.015,0.47,0
0.0679,0.566,0.019,0,0
0.0786,0.546,0.017,0.06,0
0.0393,0.556,0.017,0.02,0
0.079,0.654,0.017,0.46,0
0.0756,0.666,0.017,0.21,0
0.0793,0.537,0.017,0,0
0.0598,0.598,0.017,0.16,0
0.0642,0.579,0.016,0.12,0
0.0745,0.533,0.017,0.2,0
0.0518,0.551,0.02,0.06,0
0.0456,0.468,0.017,0.26,0
0.081,0.441,0.023,0,0
0.0751,0.448,0.019,0.1,0
0.0655,0.555,0.015,0.42,0
0.0448,0.514,0.016,0.09,0
0.0779,0.583,0.023,0.07,0
0.0466,0.488,0.024,0.13,0
0.0507,0.585,0.018,0.1,0
0.0361,0.55,0.018,0,0
0.0622,0.395,0.029,0.17,0
0.0738,0.394,0.018,0.02,0
0.0664,0.377,0.017,0.23,0
0.0414,0.524,0.017,0.24,0
0.0414,0.538,0.016,0.13,0
0.0744,0.609,0.016,0.22,0
0.0599,0.578,0.016,0.25,0
0.0474,0.556,0.015,0.36,0
0.0847,0.531,0.021,0.06,0
0.0411,0.515,0.015,0.11,0
0.0418,0.525,0.017,0.11,0
0.0636,0.574,0.018,0.21,0
0.0764,0.578,0.018,0.29,0
0.032,0.55,0.284,0.12,0
0.0686,0.503,0.019,0.16,0
0.0499,0.533,0.016,0.09,0
0.045,0.513,0.02,0.13,0
0.0649,0.492,0.021,0.2,0
0.0519,0.511,0.018,0.1,0
0.0672,0.555,0.017,0.21,0
0.0492,0.572,0.015,0.31,0
0.0827,0.406,0.019,0.25,0
0.0456,0.567,0.018,0.04,0
0.0767,0.65,0.019,0.12,0
0.0464,0.563,0.016,0.2,0
0.0318,0.45,0.018,0.04,0
0.0771,0.56,0.019,0,0
0.0684,0.535,0.016,0,0
0.0549,0.464,0.016,0,0
0.0607,0.568,0.04,0,0
0.0433,0.512,0.151,0.22,0
0.0515,0.527,0.015,0.17,0
0.0573,0.509,0.016,0.09,0
0.0751,0.539,0.022,0.34,0
0.0361,0.387,0.017,0.14,0
0.0518,0.62,0.016,0.28,0
0.0669,0.464,0.021,0.2,0
0.0399,0.37,0.022,0,0
0.0793,0.62,0.02,0.25,0
0.0698,0.516,0.021,0,0
0.069,0.544,0.016,0.16,0
0.0678,0.568,0.03,0,0
0.0447,0.539,0.016,0.09,0
0.0444,0.648,0.015,0.17,0
0.0532,0.462,0.019,0.21,0
0.0583,0.607,0.09,0,0
0.07,0.631,0.017,0.48,0
0.0565,0.606,0.018,0,0
0.0645,0.663,0.016,0.08,0
0.0489,0.487,0.016,0.33,0
0.0749,0.533,0.02,0.1,0
0.077,0.427,0.02,0.01,0
0.0842,0.548,0.017,0,0
0.0527,0.42,0.016,0,0
0.0568,0.454,0.017,0.24,0
0.0566,0.586,0.054,0.38,0
0.0636,0.536,0.018,0,0
0.0467,0.449,0.019,0.4,0
0.0768,0.454,0.021,0.12,0
0.0762,0.363,0.03,0.32,0
0.0601,0.57,0.018,0.24,0
0.0721,0.594,0.018,0,0
0.0743,0.549,0.019,0.21,0
0.0567,0.563,0.016,0.03,0
0.0695,0.558,0.022,0.31,0
0.0613,0.531,0.015,0.02,0
0.0548,0.567,0.017,0,0
0.0463,0.509,0.017,0.16,0
0.0427,0.558,0.018,0.18,0
0.0527,0.479,0.018,0.08,0
0.0505,0.555,0.016,0.05,0
0.0791,0.498,0.026,0,0
0.0389,0.541,0.015,0.12,0
0.0699,0.57,0.016,0.37,0
0.067,0.499,0.051,0.41,0
0.0843,0.612,0.026,0.39,0
0.0711,0.557,0.022,0.16,0
0.0777,0.625,0.018,0.19,0
0.0699,0.301,0.019,0.02,0
0.0788,0.411,0.03,0.46,0
0.0772,0.498,0.02,0,0
0.0688,0.438,0.015,0,0
0.0345,0.368,0.015,0,0
0.0686,0.523,0.066,0.15,0
0.0609,0.476,0.053,0,0
0.0404,0.355,0.018,0.12,0
0.0549,0.597,0.017,0.17,0
0.0381,0.465,0.015,0,0
0.0549,0.49,0.019,0,0
0.0501,0.438,0.016,0.01,0
0.0496,0.411,0.02,0.05,0
0.0785,0.582,0.024,0.4,0
0.032,0.537,0.015,0,0
0.0615,0.537,0.018,0.01,0
0.0828,0.577,0.022,0.26,0
0.0497,0.517,0.021,0,0
0.0827,0.638,0.023,0.04,0
0.0774,0.528,0.017,0.16,0
0.0483,0.557,0.016,0.09,0
0.0622,0.361,0.02,0.04,0
0.0524,0.512,0.02,0.18,0
0.0387,0.418,0.018,0.14,0
0.0631,0.573,0.021,0,0
0.0416,0.648,0.015,0.22,0
0.0814,0.493,0.02,0.24,0
0.053,0.513,0.016,0,0
0.0782,0.554,0.018,0.16,0
0.0789,0.619,0.019,0.13,0
0.0708,0.635,0.017,0.2,0
0.0524,0.477,0.02,0,0
0.038,0.494,0.017,0,0
0.0631,0.454,0.019,0,0
0.0329,0.543,0.015,0.05,0
0.0785,0.374,0.018,0,0
0.058,0.537,0.017,0,0
0.0737,0.493,0.02,0.31,0
0.0535,0.331,0.016,0.03,0
0.0352,0.424,0.016,0.31,0
0.0591,0.484,0.016,0.01,0
0.0458,0.624,0.015,0.34,0
0.0708,0.566,0.022,0.12,0
0.0463,0.436,0.017,0.1,0
0.0537,0.658,0.015,0.49,0
0.0505,0.451,0.017,0.25,0
0.0325,0.54,0.017,0.06,0
0.0475,0.6,0.019,0.16,0
0.0461,0.589,0.015,0,0
0.074,0.501,0.025,0.08,0
0.0636,0.551,0.015,0.36,0
0.0472,0.54,0.024,0.09,0
0.0324,0.54,0.016,0.08,0
0.0435,0.51,0.016,0.33,0
0.065,0.433,0.019,0.08,0
0.0683,0.485,0.019,0.33,0
0.074,0.598,0.017,0.23,0
0.0388,0.531,0.015,0,0
0.0745,0.394,0.024,0,0
0.045,0.539,0.016,0.46,0
0.0526,0.541,0.021,0.04,0
0.0764,0.521,0.019,0.15,0
0.0754,0.603,0.016,0.09,0
0.0531,0.356,0.017,0.14,0
0.0446,0.583,0.015,0.24,0
0.0448,0.404,0.022,0.31,0
0.053,0.326,0.021,0.11,0
0.0547,0.642,0.016,0.3,0
0.0346,0.568,0.015,0.43,0
0.0637,0.488,0.017,0,0
0.0813,0.54,0.021,0,0
0.0326,0.589,0.02,0.17,0
0.0714,0.522,0.019,0.1,0
0.0409,0.589,0.015,0.39,0
0.0454,0.417,0.016,0.05,0
0.0387,0.631,0.015,0.37,0
0.0723,0.409,0.053,0.08,0
0.0729,0.417,0.02,0.04,0
0.0753,0.513,0.017,0.29,0
0.0586,0.563,0.017,0.29,0
0.0485,0.461,0.017,0.15,0
0.0449,0.636,0.017,0.11,0
0.0634,0.555,0.015,0.06,0
0.0319,0.415,0.016,0.08,0
0.0454,0.582,0.024,0.08,0
0.0547,0.528,0.015,0,0
0.0534,0.623,0.015,0.21,0
0.0419,0.483,0.019,0,0
0.0407,0.513,0.289,0.24,0
0.0444,0.602,0.016,0,0
0.0455,0.595,0.017,0.25,0
0.0724,0.544,0.019,0.18,0
0.0568,0.497,0.019,0.28,0
0.0643,0.524,0.016,0.27,0
0.0543,0.481,0.028,0.06,0
0.0402,0.575,0.019,0.09,0
0.0822,0.609,0.017,0.1,0
0.066,0.524,0.023,0,0
0.0744,0.509,0.021,0,0
0.0518,0.433,0.019,0,0
0.0755,0.29,0.02,0.1,0
0.0788,0.491,0.022,0.03,0
0.0441,0.492,0.017,0.1,0
0.0412,0.415,0.017,0.35,0
0.0815,0.607,0.02,0.04,0
0.0436,0.42,0.02,0.1,0
0.0477,0.521,0.019,0.34,0
0.036,0.603,0.016,0.02,0
0.0345,0.527,0.016,0.46,0
0.0538,0.539,0.02,0,0
0.0625,0.531,0.016,0.14,0
0.0424,0.547,0.017,0.1,0
0.0479,0.573,0.015,0.16,0
0.0753,0.614,0.018,0.14,0
0.0429,0.583,0.019,0.01,0
0.0542,0.51,0.016,0.19,0
0.0636,0.588,0.016,0.42,0
0.0567,0.567,0.017,0.23,0
0.0845,0.405,0.032,0.04,0
0.0447,0.545,0.04,0,0
0.0669,0.566,0.018,0.48,0
0.0631,0.513,0.018,0.25,0
0.0599,0.521,0.02,0,0
0.055,0.419,0.018,0,0
0.0653,0.664,0.017,0.46,0
0.0629,0.516,0.018,0.35,0
0.0626,0.541,0.025,0.01,0
0.0596,0.497,0.025,0,0
0.0735,0.616,0.016,0.26,0
0.0561,0.511,0.059,0.03,0
0.0843,0.595,0.017,0.1,0
0.0655,0.382,0.021,0.2,0
0.0422,0.473,0.015,0.02,0
0.0424,0.565,0.015,0.23,0
0.0328,0.626,0.015,0.36,0
0.0593,0.41,0.024,0,0
0.0491,0.633,0.019,0.08,0
0.0529,0.443,0.017,0.13,0
0.049,0.53,0.018,0.17,0
0.0732,0.579,0.02,0,0
0.0325,0.566,0.015,0.18,0
0.072,0.496,0.021,0.13,0
0.0755,0.572,0.021,0.48,0
0.0762,0.505,0.015,0.03,0
0.0564,0.489,0.02,0,0
0.0438,0.48,0.016,0.41,0
0.075,0.48,0.025,0.2,0
0.0668,0.438,0.017,0.16,0
0.0795,0.506,0.021,0.1,0
0.044,0.469,0.018,0,0
0.0518,0.502,0.018,0.2,0
0.0569,0.508,0.016,0.18,0
0.0837,0.419,0.036,0.01,0
0.0675,0.559,0.017,0.48,0
0.0728,0.461,0.03,0.08,0
0.0508,0.531,0.016,0.11,0
0.0425,0.511,0.016,0.1,0
0.0415,0.479,0.022,0,0
0.042,0.386,0.017,0.32,0
0.0602,0.605,0.016,0.3,0
0.0762,0.517,0.023,0.23,0
0.0442,0.512,0.017,0.35,0
0.0445,0.42,0.051,0.06,0
0.0435,0.534,0.018,0.1,0
0.0307,0.439,0.015,0.33,0
0.0697,0.352,0.019,0.27,0
0.0662,0.459,0.026,0,0
0.0437,0.558,0.016,0.43,0
0.0636,0.485,0.016,0.12,0
0.0823,0.445,0.025,0.02,0
0.0666,0.385,0.028,0,0
0.073,0.414,0.022,0.2,0
0.0657,0.49,0.024,0.16,0
0.0464,0.533,0.015,0.07,0
0.0523,0.577,0.016,0.18,0
0.0358,0.642,0.016,0.48,0
0.0675,0.586,0.027,0,0
0.079,0.543,0.027,0.25,0
0.05,0.612,0.016,0.37,0
0.067,0.298,0.024,0.37,0
0.0799,0.583,0.024,0.07,0
0.043,0.66,0.015,0.04,0
0.034,0.626,0.015,0.11,0
0.0445,0.399,0.017,0.22,0
0.0393,0.609,0.015,0,0
0.0835,0.605,0.017,0.21,0
0.0623,0.441,0.015,0.16,0
0.0564,0.423,0.018,0.07,0
0.0587,0.437,0.815,0.07,0
0.0817,0.434,0.017,0.06,0
0.0433,0.493,0.018,0.14,0
0.0338,0.412,0.019,0.09,0
0.055,0.413,0.018,0.22,0
0.0396,0.477,0.019,0,0
0.0433,0.484,0.016,0.04,0
0.0449,0.427,0.024,0,0
0.0693,0.492,0.04,0.26,0
0.071,0.427,0.015,0.23,0
0.0448,0.535,0.016,0.4,0
0.0651,0.495,0.016,0,0
0.0738,0.589,0.02,0.01,0
0.0764,0.457,0.021,0.14,0
0.0687,0.579,0.022,0.15,0
0.0628,0.609,0.018,0.1,0
0.0628,0.459,0.016,0,0
0.0661,0.522,0.018,0.26,0
0.0463,0.569,0.015,0.19,0
0.0407,0.55,0.018,0,0
0.0446,0.564,0.017,0,0
0.0336,0.478,0.015,0.15,0
0.0791,0.491,0.021,0.03,0
0.0656,0.505,0.02,0.02,0
0.0822,0.378,0.02,0,0
0.055,0.578,0.017,0.18,0
0.0626,0.444,0.02,0,0
0.0667,0.466,0.018,0,0
0.063,0.485,0.025,0.04,0
0.0673,0.599,0.017,0.13,0
0.0805,0.476,0.024,0,0
0.0847,0.627,0.021,0.46,0
0.0536,0.419,0.018,0,0
0.0634,0.61,0.019,0,0
0.0332,0.5,0.016,0.35,0
0.0471,0.595,0.017,0.13,0
0.0649,0.623,0.015,0.2,0
0.0654,0.524,0.019,0.22,0
0.0583,0.67,0.015,0.36,0
0.053,0.581,0.015,0,0
0.0513,0.663,0.016,0.19,0
0.0828,0.544,0.02,0.23,0
0.0759,0.572,0.018,0.09,0
0.0837,0.32,0.022,0.18,0
0.0825,0.556,0.018,0.29,0
0.0676,0.58,0.018,0.1,0
0.054,0.557,0.017,0.38,0
0.0667,0.64,0.018,0.16,0
0.0564,0.475,0.018,0,0
0.0421,0.584,0.016,0.1,0
0.0508,0.437,0.023,0.07,0
0.0719,0.525,0.017,0.03,0
0.0324,0.607,0.016,0.24,0
0.0562,0.559,0.018,0.22,0
0.0363,0.433,0.017,0.02,0
0.0558,0.457,0.017,0.26,0
0.0422,0.456,0.019,0.25,0
0.0428,0.571,0.017,0.04,0
0.0513,0.592,0.017,0.27,0
0.0801,0.39,0.028,0.16,0
0.0758,0.37,0.024,0.12,0
0.0538,0.56,0.017,0.22,0
0.0655,0.589,0.017,0.28,0
0.0308,0.52,0.015,0.38,0
0.0557,0.55,0.016,0,0
0.0768,0.537,0.018,0.06,0
0.073,0.594,0.022,0.16,0
0.0439,0.594,0.036,0.4,0
0.0613,0.331,0.017,0.33,0
0.0818,0.571,0.018,0.34,0
0.07,0.462,0.019,0,0
0.0521,0.477,0.015,0.03,0
0.0361,0.47,0.016,0.19,0
0.0583,0.495,0.021,0.36,0
0.0584,0.552,0.015,0.3,0
0.0724,0.417,0.031,0.05,0
0.0848,0.579,0.019,0.43,0
0.0645,0.449,0.024,0.1,0
0.0673,0.561,0.017,0.39,0
0.0536,0.559,0.016,0.26,0
0.0639,0.605,0.41,0.39,0
0.0552,0.533,0.016,0,0
0.0488,0.355,0.287,0.18,0
0.072,0.538,0.023,0,0
0.0834,0.531,0.022,0.24,0
0.0541,0.461,0.023,0.01,0
0.0637,0.581,0.017,0.44,0
0.0762,0.505,0.028,0.41,0
0.0423,0.489,0.015,0.4,0
0.0356,0.558,0.016,0.06,0
0.0492,0.543,0.019,0.38,0
0.0716,0.624,0.022,0.44,0
0.0828,0.584,0.021,0.36,0
0.0688,0.572,0.032,0.06,0
0.079,0.498,0.019,0.19,0
0.0754,0.61,0.015,0.34,0
0.07,0.488,0.022,0,0
0.0845,0.539,0.017,0.12,0
0.0547,0.599,0.017,0.11,0
0.0355,0.583,0.019,0.37,0
0.0782,0.377,0.018,0,0
0.0565,0.58,0.016,0.25,0
0.0681,0.66,0.018,0.13,0
0.0748,0.484,0.019,0.01,0
0.0527,0.306,0.033,0.34,0
0.0522,0.481,0.016,0.09,0
0.0357,0.602,0.015,0.48,0
0.0539,0.598,0.018,0.13,0
0.0796,0.436,0.02,0.07,0
0.0815,0.518,0.022,0,0
0.0713,0.541,0.022,0.06,0
0.0796,0.632,0.019,0.31,0
0.0684,0.584,0.099,0.24,0
0.0492,0.536,0.019,0.04,0
0.0676,0.655,0.017,0.35,0
0.0735,0.503,0.018,0.16,0
0.0557,0.603,0.016,0.37,0
0.0386,0.587,0.016,0,0
0.0761,0.466,0.017,0.39,0
0.0804,0.343,0.023,0.15,0
0.0682,0.556,0.018,0.34,0
0.0837,0.255,0.019,0.09,0
0.0744,0.379,0.033,0.12,0
0.0348,0.534,0.017,0.27,0
0.0823,0.601,0.029,0.28,0
0.0759,0.462,0.023,0.1,0
0.08,0.472,0.023,0.02,0
0.0397,0.596,0.016,0,0
0.0451,0.645,0.048,0.37,0
0.046,0.525,0.016,0.22,0
0.0753,0.568,0.019,0.32,0
0.0454,0.44,0.019,0,0
0.0666,0.611,0.016,0.4,0
0.0843,0.468,0.021,0.01,0
0.0555,0.47,0.02,0.11,0
0.0499,0.475,0.017,0.02,0
0.0356,0.572,0.016,0.08,0
0.0414,0.552,0.015,0.44,0
0.0636,0.549,0.017,0,0
0.0391,0.598,0.137,0.26,0
0.0388,0.524,0.165,0.17,0
0.0631,0.405,0.024,0,0
0.0341,0.562,0.016,0.05,0
0.0847,0.576,0.022,0,0
0.0403,0.434,0.021,0,0
0.0833,0.443,0.02,0.29,0
0.0355,0.43,0.016,0.16,0
0.0556,0.589,0.017,0.41,0
0.0489,0.418,0.02,0.11,0
0.0685,0.443,0.025,0,0
0.0347,0.458,0.015,0.1,0
0.0652,0.624,0.017,0.09,0
0.0476,0.499,0.018,0.19,0
0.0415,0.467,0.017,0,0
0.0748,0.616,0.018,0.06,0
0.084,0.524,0.018,0.01,0
0.081,0.618,0.017,0.32,0
0.0702,0.42,0.022,0.18,0
0.0593,0.629,0.016,0.48,0
0.0541,0.534,0.026,0.32,0
0.0628,0.553,0.016,0,0
0.0419,0.401,0.018,0.48,0
0.0601,0.597,0.019,0.18,0
0.0708,0.526,0.019,0.21,0
0.0728,0.536,0.018,0.09,0
0.083,0.558,0.017,0.25,0
0.0306,0.518,0.016,0,0
0.0551,0.571,0.018,0.05,0
0.0317,0.627,0.015,0.37,0
0.056,0.499,0.019,0.29,0
0.0743,0.562,0.018,0.17,0
0.0789,0.564,0.018,0.25,0
0.0734,0.576,0.021,0,0
0.0413,0.415,0.018,0.46,0
0.0574,0.422,0.018,0.22,0
0.075,0.602,0.021,0.19,0
0.06,0.445,0.021,0.29,0
0.0351,0.552,0.015,0.08,0
0.0777,0.442,0.026,0.16,0
0.0606,0.442,0.032,0,0
0.0411,0.413,0.017,0.14,0
0.045,0.533,0.015,0.04,0
0.0652,0.58,0.076,0.04,0
0.0788,0.502,0.017,0.18,0
0.0415,0.658,0.015,0.36,0
0.0827,0.517,0.02,0,0
0.0396,0.601,0.016,0.18,0
0.0317,0.61,0.017,0.18,0
0.032,0.63,0.015,0.14,0
0.0832,0.409,0.021,0.05,0
0.0582,0.599,0.018,0,0
0.0731,0.566,0.02,0.17,0
0.0788,0.545,0.017,0.45,0
0.0437,0.571,0.016,0.39,0
0.0818,0.587,0.036,0.25,0
0.0574,0.352,0.022,0,0
0.0375,0.519,0.015,0.17,0
0.0841,0.499,0.025,0.01,0
0.0681,0.476,0.019,0.32,0
0.0527,0.263,0.02,0.22,0
0.0381,0.398,0.016,0.1,0
0.0781,0.493,0.017,0.11,0
0.0695,0.419,0.019,0.12,0
0.054,0.643,0.015,0.38,0
0.0776,0.607,0.019,0,0
0.07,0.612,0.017,0.43,0
0.085,0.628,0.021,0.27,0
0.068,0.512,0.018,0.06,0
0.0478,0.449,0.016,0.02,0
0.0844,0.584,0.018,0.22,0
0.077,0.48,0.016,0,0
0.0694,0.492,0.021,0,0
0.0411,0.387,0.018,0,0
0.0641,0.496,0.019,0.08,0
0.0348,0.461,0.015,0,0
0.0482,0.548,0.022,0.05,0
0.0714,0.546,0.017,0.37,0
0.0701,0.407,0.017,0.02,0
0.0682,0.492,0.025,0.3,0
0.0672,0.611,0.016,0.15,0
0.0629,0.441,0.031,0.25,0
0.0624,0.683,0.015,0.47,0
0.0477,0.643,0.04,0,0
0.0822,0.402,0.021,0.19,0
0.0684,0.64,0.015,0.08,0
0.0737,0.535,0.017,0.06,0
0.0534,0.623,0.016,0.37,0
0.052,0.359,0.016,0,0
0.0621,0.522,0.015,0.24,0
0.0368,0.574,0.015,0,0
0.0553,0.621,0.015,0.22,0
0.0771,0.623,0.018,0.19,0
0.078,0.464,0.023,0.08,0
0.0383,0.637,0.015,0.4,0
0.0756,0.461,0.028,0.13,0
0.0476,0.488,0.018,0.39,0
0.0733,0.419,0.03,0,0
0.0329,0.631,0.015,0.32,0
0.0528,0.305,0.032,0.49,0
0.0396,0.466,0.018,0.14,0
0.0715,0.345,0.023,0.2,0
0.0701,0.6,0.025,0.22,0
0.047,0.544,0.016,0.17,0
0.0723,0.453,0.025,0.02,0
0.0788,0.617,0.016,0.13,0
0.071,0.481,0.026,0.04,0
0.0546,0.434,0.02,0.05,0
0.0465,0.384,0.015,0.13,0
0.0399,0.548,0.017,0.43,0
0.052,0.521,0.024,0.24,0
0.04,0.454,0.015,0.09,0
0.0709,0.506,0.031,0.13,0
0.0316,0.395,0.016,0.21,0
0.0335,0.459,0.017,0.16,0
0.0821,0.448,0.018,0.14,0
0.0738,0.182,0.017,0.2,0
0.0488,0.587,0.015,0.29,0
0.0465,0.477,0.016,0.09,0
0.06,0.613,0.016,0.34,0
0.0542,0.433,0.015,0.12,0
0.0582,0.666,0.016,0.37,0
0.049,0.581,0.015,0.12,0
0.0809,0.559,0.018,0.1,0
0.0593,0.311,0.016,0.41,0
0.0741,0.656,0.016,0.47,0
0.0443,0.596,0.054,0.01,0
0.0819,0.511,0.016,0.36,0
0.0849,0.282,0.028,0.22,0
0.0693,0.446,0.019,0.37,0
0.0829,0.422,0.02,0.17,0
0.0625,0.457,0.016,0.08,0
0.0659,0.621,0.021,0.33,0
0.0686,0.458,0.02,0.01,0
0.0713,0.631,0.019,0.06,0
0.0529,0.601,0.016,0.14,0
0.0657,0.628,0.019,0,0
0.0363,0.586,0.017,0.25,0
0.0682,0.555,0.016,0.48,0
0.0674,0.365,0.023,0.49,0
0.0477,0.505,0.024,0.49,0
0.0654,0.627,0.016,0.09,0
0.0804,0.323,0.022,0.19,0
0.0753,0.46,0.023,0,0
0.0702,0.461,0.016,0.17,0
0.0679,0.607,0.017,0.31,0
0.0626,0.472,0.018,0.1,0
0.0794,0.545,0.019,0.13,0
0.0458,0.575,0.018,0.28,0
0.0592,0.634,0.017,0,0
0.0562,0.567,0.019,0.16,0
0.0743,0.593,0.016,0.42,0
0.0802,0.535,0.02,0,0
0.0423,0.624,0.016,0.13,0
0.074,0.603,0.021,0.05,0
0.0638,0.498,0.016,0.13,0
0.0583,0.514,0.019,0.05,0
0.0829,0.308,0.031,0.15,0
0.0811,0.495,0.018,0.21,0
0.0498,0.541,0.019,0,0
0.0431,0.514,0.016,0,0
0.0468,0.583,0.017,0,0
0.0327,0.573,0.015,0.49,0
0.0331,0.596,0.015,0.15,0
0.0615,0.404,0.022,0.05,0
0.0326,0.422,0.016,0.02,0
0.0352,0.432,0.016,0.08,0
0.0435,0.428,0.018,0.05,0
0.0752,0.413,0.019,0,0
0.0647,0.599,0.018,0.27,0
0.0479,0.488,0.018,0,0
0.0731,0.517,0.016,0.05,0
0.0571,0.511,0.021,0,0
0.0443,0.522,0.017,0,0
0.0344,0.409,0.016,0,0
0.0655,0.656,0.017,0.44,0
0.043,0.617,0.016,0.21,0
0.0692,0.624,0.016,0.26,0
0.0706,0.425,0.022,0.17,0
0.0517,0.417,0.026,0.07,0
0.0312,0.479,0.017,0.17,0
0.0563,0.497,0.017,0,0
0.0378,0.399,0.018,0.04,0
0.0697,0.56,0.019,0.32,0
0.0328,0.544,0.015,0.31,0
0.0446,0.453,0.017,0.04,0
0.0804,0.554,0.016,0.44,0
0.0311,0.537,0.016,0.02,0
0.0581,0.394,0.017,0.14,0
0.0445,0.585,0.02,0.16,0
0.0668,0.479,0.016,0.11,0
0.0776,0.53,0.021,0.1,0
0.0843,0.539,0.019,0.42,0
0.0814,0.552,0.016,0,0
0.0379,0.416,0.075,0.11,0
0.0657,0.597,0.018,0.31,0
0.0339,0.599,0.015,0.02,0
0.0684,0.524,0.016,0.11,0
0.0642,0.556,0.019,0.12,0
0.07,0.606,0.017,0,0
0.0464,0.476,0.018,0.06,0
0.0746,0.541,0.02,0.25,0
0.0488,0.626,0.016,0.29,0
0.0695,0.639,0.019,0.21,0
0.074,0.532,0.02,0.17,0
0.0468,0.546,0.018,0.08,0
0.0628,0.561,0.02,0,0
0.0695,0.468,0.016,0.38,0
0.0802,0.479,0.019,0,0
0.0688,0.551,0.021,0.12,0
0.0702,0.626,0.172,0.22,0
0.047,0.51,0.021,0.15,0
0.0395,0.61,0.015,0.33,0
0.0413,0.615,0.017,0.14,0
0.045,0.488,0.024,0.12,0
0.0683,0.617,0.022,0.06,0
0.0397,0.619,0.017,0.03,0
0.053,0.618,0.018,0.14,0
0.0331,0.443,0.016,0.03,0
0.0725,0.588,0.02,0.03,0
0.0469,0.536,0.015,0.13,0
0.0487,0.603,0.017,0,0
0.0716,0.6,0.017,0.24,0
0.064,0.381,0.02,0.11,0
0.0651,0.396,0.019,0.05,0
0.0495,0.471,0.016,0,0
0.0601,0.57,0.019,0.19,0
0.0815,0.594,0.015,0.14,0
0.0804,0.49,0.021,0,0
0.043,0.625,0.017,0.43,0
0.0626,0.491,0.019,0,0
0.0333,0.51,0.015,0.25,0
0.0766,0.576,0.016,0.31,0
0.0799,0.297,0.031,0.02,0
