"redshift","g.r","g.r_err","fracdeV","type"
0.0742,0.736,0.021,0.3,1
0.0827,0.69,0.017,0.47,1
0.0534,0.658,0.022,0.07,1
0.0509,0.669,0.015,0.2,1
0.0346,0.674,0.015,0.39,1
0.0322,0.698,0.015,0.27,1
0.0521,9.948,0.58,0.28,1
0.0461,0.702,0.016,0.35,1
0.0694,0.677,0.016,0.3,1
0.0608,0.689,0.019,0.32,1
0.0349,0.667,0.016,0.45,1
0.0723,0.691,0.018,0.47,1
0.0321,0.667,0.018,0.44,1
0.0398,0.671,0.015,0.41,1
0.0651,0.671,0.016,0.43,1
0.0589,0.762,0.015,0.26,1
0.0424,0.705,0.015,0.46,1
0.0633,0.681,0.016,0.3,1
0.0482,0.874,0.027,0,1
0.0467,0.863,0.093,0.03,1
0.0666,0.666,0.016,0.2,1
0.0331,0.681,0.015,0.31,1
0.038,0.65,0.016,0.06,1
0.03,0.66,0.015,0.39,1
0.0604,0.696,0.016,0.46,1
0.0774,0.676,0.019,0.45,1
0.0504,0.65,0.02,0.34,1
0.0701,0.678,0.016,0.11,1
0.0372,0.707,0.015,0.41,1
0.05,0.662,0.018,0.49,1
0.0547,0.909,0.157,0,1
0.0615,0.706,0.071,0.49,1
0.06,0.693,0.025,0.43,1
0.0461,0.655,0.016,0.31,1
0.0818,0.685,0.027,0.35,1
0.0415,0.663,1.293,0.29,1
0.0677,0.679,0.047,0.24,1
0.0344,0.66,0.015,0.5,1
0.0792,0.704,0.022,0.34,1
0.0423,0.688,0.015,0.4,1
0.0701,0.677,0.017,0.35,1
0.064,0.682,0.023,0.16,1
0.034,0.675,0.019,0.21,1
0.0624,0.672,0.018,0.41,1
0.035,0.694,0.016,0.47,1
0.0579,0.671,0.016,0.41,1
0.0705,0.68,0.022,0.09,1
0.0498,0.689,0.016,0.05,1
0.0624,0.693,0.024,0.28,1
0.063,0.688,0.023,0.4,1
0.0817,0.694,0.043,0.37,1
0.0417,0.667,0.017,0,1
0.0754,0.434,0.02,0.12,0
0.0767,0.561,0.028,0.07,0
0.0834,0.503,0.035,0.06,0
0.0807,0.632,0.018,0.22,0
0.0611,0.378,0.023,0,0
0.0844,0.383,0.034,0.1,0
0.0415,0.507,0.021,0,0
0.084,0.577,0.022,0.14,0
0.0737,0.586,0.018,0,0
0.0736,0.423,0.02,0.43,0
0.0799,0.623,0.018,0.43,0
0.0402,0.482,0.018,0.04,0
0.0764,0.394,0.021,0.1,0
0.0799,0.538,0.021,0.34,0
0.0631,0.521,0.033,0.37,0
0.0675,0.443,0.025,0.02,0
0.0827,0.433,0.034,0,0
0.0388,0.591,0.016,0.28,0
0.0834,0.52,0.021,0.22,0
0.0838,0.455,0.017,0.25,0
0.0518,0.505,0.02,0.04,0
0.0846,0.368,0.03,0.18,0
0.063,0.586,0.018,0.04,0
0.0366,0.584,0.017,0.37,0
0.0658,0.509,0.021,0.32,0
0.06,0.557,0.028,0.14,0
0.0361,0.479,0.018,0,0
0.0847,0.576,0.019,0.08,0
0.0633,0.646,0.018,0.35,0
0.0403,0.39,0.017,0.44,0
0.0648,0.496,0.02,0.01,0
0.0649,0.463,0.016,0,0
0.0809,0.344,0.028,0.2,0
0.081,0.447,0.03,0.15,0
0.069,0.429,0.019,0.25,0
0.0596,0.453,0.016,0.34,0
0.0646,0.569,0.017,0.37,0
0.0384,0.495,0.019,0,0
0.0606,0.62,0.023,0.44,0
0.0453,0.53,0.018,0,0
0.0813,0.576,0.029,0.05,0
0.0607,0.494,0.023,0.45,0
0.0672,0.438,0.033,0.13,0
0.0541,0.503,0.019,0.15,0
0.0546,0.556,0.019,0,0
0.0444,0.55,0.068,0.13,0
0.0663,0.422,0.028,0.32,0
0.0452,0.594,0.017,0,0
0.077,0.52,0.021,0,0
0.0781,0.559,0.017,0.05,0
0.0417,0.593,0.016,0.27,0
0.0431,0.552,0.017,0.11,0
0.0678,0.626,0.018,0.47,0
0.0849,0.664,0.017,0.3,0
0.0789,0.547,0.02,0.16,0
