NSAID,RA,DEC,DISTANCE,DISTANCE_ERR,INCLINATION,V_W20I,V_W20I_ERR,R_EFF,R_EFF_ERR,M_HI,M_HI_ERR,M_STAR,M_STAR_ERR,SOURCE
73973,09:39:23.01,+10:59:12.62,152.25970458984375,2.143744945526123,43,137.33486938476562,32.07520294189453,4.488874,0.063201234,5.3056758E9,2.01268032E9,7.4407439E9,3.42720666E9,"           2"
73989,09:44:50.60,+12:38:06.10,185.6814422607422,2.143744945526123,62,159.81182861328125,6.211896896362305,6.6850557,0.07718086,1.39693926E10,1.98603379E9,3.07182346E10,1.414882E10,"           2"
73999,09:47:19.94,+12:23:47.06,56.72408676147461,2.1080024242401123,46,105.48772430419922,3.4905688762664795,2.172575,0.080738075,9.9872634E8,1.7918984E8,5.35319296E8,2.46568064E8,"           2"
74005,09:47:18.44,+12:09:30.46,208.71353149414062,2.143744945526123,28,238.53436279296875,35.69402313232422,3.9183128,0.040245894,1.1169836E10,3.08996966E9,5.5595049E10,2.56070799E10,"           2"
74028,09:52:18.27,+11:47:13.68,210.83261108398438,2.143744945526123,80,118.37435150146484,27.962017059326172,4.7089863,0.047880948,9.0514801E9,3.60499712E9,2.94070528E9,1.35448883E9,"           2"
74095,10:02:10.37,+11:38:36.63,52.83633804321289,2.4654502868652344,67,81.91120910644531,3.249504804611206,1.6578488,0.07735857,1.2657312E9,2.63900416E8,2.05786304E8,9.4785176E7,"           2"
74097,10:03:05.53,+11:26:47.30,53.20585250854492,2.4654502868652344,69,51.793025970458984,1.0693432092666626,1.5904725,0.073699236,2.43974861E9,4.76942944E8,2.33775616E8,1.07677048E8,"           2"
74099,10:02:49.73,+11:43:42.99,101.8321304321289,2.143744945526123,64,136.84988403320312,18.42046356201172,4.146911,0.08729975,2.41250381E9,5.23496832E8,7.3501757E9,3.38549094E9,"           2"
74103,10:04:20.77,+12:22:57.83,157.9069061279297,2.143744945526123,31,138.08633422851562,9.734795570373535,7.687942,0.10437153,1.13526467E10,1.51806118E9,1.59580232E10,7.3502653E9,"           2"
74106,10:01:03.40,+11:27:41.14,157.80543518066406,2.143744945526123,29,255.5995330810547,11.337284088134766,3.0444481,0.04135802,1.8744916E10,1.80346509E9,3.8626509E10,1.77913692E10,"           2"
74135,09:58:47.00,+11:23:20.49,43.43048095703125,2.0722599029541016,70,121.66725158691406,3.19093656539917,5.1127625,0.24395247,2.99087898E9,6.1293408E8,2.77503078E9,1.2781792E9,"           2"
74179,10:03:29.53,+13:06:11.95,119.38134765625,2.143744945526123,90,158.1409149169922,9.414576530456543,7.181409,0.1289574,8.9074924E9,1.36020109E9,9.4515896E9,4.3534024E9,"           2"
74198,10:07:57.13,+13:13:40.11,41.194557189941406,1.9650360345840454,90,86.90373229980469,2.477520227432251,2.6763415,0.1276651,1.53788838E9,3.2038064E8,2.72226144E8,1.25387368E8,"           2"
74205,10:16:38.40,+12:34:38.45,136.95677185058594,2.143744945526123,71,272.4045104980469,15.81788444519043,9.553863,0.14954387,1.25219492E10,1.86739763E9,8.0675406E10,3.7159092E10,"           2"
74214,10:14:46.54,+12:35:47.29,176.82481384277344,2.143744945526123,19,296.30352783203125,9.067734718322754,5.100595,0.061837334,1.4916608E10,1.6688233E9,4.8662544E10,2.24139674E10,"           2"
74222,10:12:27.02,+12:20:37.49,42.656837463378906,2.1080024242401123,51,42.071754455566406,21.23708724975586,0.2813322,0.013902789,5.9371868E7,2.459813E7,1.906418E7,8780962.0,"           1"
74223,10:10:00.25,+11:54:59.55,121.09841918945312,2.143744945526123,42,209.44317626953125,19.439990997314453,6.816527,0.12066957,6.1024763E9,8.1027354E8,3.30353623E10,1.52160881E10,"           2"
