"index","SFR","Z","Mstar","Xmol","Mgas","Mdm","T"
340,0,0,0,1.2163835e-05,20624.822,792255.77,486.95511
341,0,0,0,1.2250182e-05,21725.941,782070.41,489.86214
342,0,0,0,1.929554e-05,25791.615,752340.18,699.71104
343,0,0,0,1.1829507e-05,21810.643,765828.89,553.32918
344,0,0,0,2.3192687e-05,25368.107,741879.54,654.59628
345,0,0,0,2.1506299e-05,25071.652,742705.38,601.33
346,0,0.00275380483606557,0,0.027833135,21352.306,766654.73,422.85395
347,0,0,0,1.6733346e-05,34346.469,677188.74,727.32925
348,0,0,0,1.360325e-05,31127.811,697559.46,598.51994
349,0,0,0,1.5746239e-05,23335.27,718480.74,513.3188
350,0,0,0,1.818849e-05,24521.092,680767.38,544.98012
351,0,0,0,1.9871149e-05,25029.301,673059.54,604.55864
352,0,0,0,1.3721228e-05,22445.904,671683.14,523.14469
353,0,0,0,2.1633651e-05,23377.621,659570.82,608.87979
354,0,0,0,1.0837455e-05,18380.231,687374.1,480.37513
355,0,0,0,1.7333978e-05,18507.283,676913.46,491.60448
356,0,0,0,1.0948625e-05,25876.316,620205.79,577.58168
357,0,0,0,1.0308375e-05,19947.209,649110.18,464.73333
358,0,0,0,1.1949296e-05,19354.299,649936.02,526.43901
359,0,0,0,1.1293786e-05,16516.798,609469.87,479.91715
360,0,0,0,1.6187486e-05,16559.148,606441.79,578.77513
361,0,0,0,1.3695728e-05,16813.253,601211.47,445.98315
362,0,0,0,2.2387228e-05,24436.39,547531.87,746.35766
363,0,0,0,1.5532521e-05,18337.88,587172.19,493.84419
364,0,0,0,1.0705698e-05,17406.164,592953.07,430.83464
365,0,0,0,2.0266863e-05,20243.665,572031.79,540.92552
366,0,0.00261756327868852,0,0.026456125,15886.856,594054.19,427.73541
367,0,0,0,1.2576604e-05,15881.536,568177.87,474.71059
368,0,0,0,1.0986334e-05,14695.715,569278.99,443.58544
369,0,0,0,1.1017313e-05,16813.253,549458.83,513.56881
370,0,0,0,1.7773562e-05,14483.961,559093.63,714.84468
371,0,0,0,1.3924116e-05,16135.641,546706.03,660.82093
372,0,0,0,1.510739e-05,17025.007,535694.83,534.75835
373,0,0,0,1.3994548e-05,16516.798,530739.79,508.05179
374,0,0,0,1.4956658e-05,15246.275,533767.87,466.04921
375,0,0,0,1.7382672e-05,14822.767,526335.32,453.00623
376,0,0,0,1.3196875e-05,13975.752,523582.52,551.86385
377,0,0,0,1.051689e-05,14102.804,521380.28,420.90048
378,0,0,0,1.119654e-05,18676.686,489998.36,519.69308
379,0,0,0,1.1200086e-05,14018.103,518352.2,449.93173
380,0,0,0,1.5374019e-05,16474.447,470728.76,604.08459
381,0,0,0,1.6400889e-05,13086.386,487520.84,451.40429
382,0,0,0,1.543015e-05,12747.58,478161.32,450.07308
383,0,0,0,1.3269395e-05,19566.052,428610.92,538.83864
384,0,0,0,1.3615902e-05,16982.656,436594.04,647.31653
385,0,0,0,1.1230749e-05,13382.841,459717.56,464.53198
386,0,0,0,1.4168396e-05,15796.835,431088.44,567.66161
387,0,0,0,2.173821e-05,18591.985,406863.81,612.4892
388,0,0,0,1.7314477e-05,14483.961,430813.16,530.09519
389,0,0,0,2.1704373e-05,15076.872,423655.88,616.44209
390,0,0.00247854172131148,0,0.025051101,13259.993,404661.57,493.48332
391,0,0,0,1.8656447e-05,15796.835,382639.17,818.87827
392,0,0,0,1.3377968e-05,18041.425,367774.05,703.01441
393,0,0,0,1.8926574e-05,14145.155,382363.89,501.83568
394,0,0,0,1.1782758e-05,13552.244,384566.13,553.2206
395,0,0,0,1.3429477e-05,14145.155,341347.17,532.16845
396,0,0,0,1.1626928e-05,13171.087,300330.45,584.17375
397,4.9910479e-05,0.000114009196721311,4.5936394e-07,0.014723276,1116015.9,12708300,1222.8875
398,4.0888863e-05,0.000157094532786885,2.6313836e-07,0.014432797,969428.59,10709492,1074.0181
399,1.4185036e-05,3.53791663934426e-06,2.3901297e-08,0.0007135376,822666.59,7436413.3,1051.5671
400,1.1222804e-07,0,0,5.7359986e-05,677061.67,8140579.5,938.71058
401,0,0.000156407975409836,0,0.012552399,567897.8,6520006.2,944.56958
402,1.1311381e-05,0.000195609901639344,5.499367e-08,0.018827703,408514.25,4338137.2,711.80914
403,0,0,0,4.0687774e-05,337959.09,3913930.7,1100.3379
404,0,0,0,3.0662445e-05,262024.17,4158929.9,882.46457
