"bpt","logM200","r_r200","zoo"
0,-1.373051181,-0.914107,"E"
1,-0.118313246,-0.772216581,"E"
1,0.395949621,-0.333525957,"E"
1,0.395949621,-0.844979586,"E"
0,-0.695414751,-0.900904411,"E"
0,-0.72097097,-0.676659673,"E"
1,0.036507089,-0.764706,"E"
0,0.036507089,-0.690315379,"E"
1,-1.380086901,-0.784819876,"E"
1,-1.380086901,-0.878772389,"E"
1,0.55270133,-0.632937818,"E"
0,-0.348112285,-1.014055727,"E"
0,-0.146835504,-1.000495488,"E"
0,1.852999003,-0.829076031,"E"
0,0.95653098,-1.009514316,"E"
0,1.852999003,-0.296606987,"E"
1,0.95653098,-0.781580114,"E"
0,2.139670115,-0.741702238,"E"
0,-0.473548141,-1.01172088,"E"
1,0.778223755,-0.655716055,"E"
0,-0.025641773,-0.619413962,"E"
1,-0.846096427,-0.951680981,"E"
0,-0.395361975,-0.870797587,"E"
1,0.760427522,-0.839881503,"E"
0,-0.695414751,-0.810754008,"E"
1,0.641130677,-0.473391792,"E"
0,-0.61650432,-0.867497683,"E"
1,-1.211505526,-0.721308771,"E"
0,0.502313157,-0.784695973,"E"
1,-1.505246846,-0.944183896,"E"
0,-0.342145719,-0.489321691,"E"
0,-0.861099065,-0.796073528,"E"
0,2.539395594,-0.55673608,"E"
0,0.661513572,-0.962377615,"E"
1,-0.045438359,-0.805174797,"E"
1,0.349148286,-0.93401977,"E"
1,1.734150513,-0.893893484,"E"
1,1.734150513,-0.786446661,"E"
1,-0.348905528,-0.861925686,"E"
1,-1.108763316,-1.006296323,"E"
1,0.316211458,-1.0283156,"E"
1,-1.348357182,-0.953368846,"E"
1,1.407989696,-0.690461198,"E"
0,-0.509864874,-0.793080536,"E"
1,-0.159803302,-0.960387704,"E"
0,1.268585867,-0.570275933,"E"
0,1.268585867,-1.001494093,"E"
1,1.268585867,-0.661307475,"E"
1,-0.03160834,-0.799872779,"E"
1,0.571946094,-0.560102698,"E"
1,-0.746492701,-0.866078052,"E"
1,0.580809722,-0.905800259,"E"
1,-0.033815625,-0.767412606,"E"
0,0.792812528,-0.96693554,"E"
1,0.792812528,-0.874533953,"E"
1,-0.845751538,-0.980644138,"E"
1,-0.402225251,-0.960076579,"E"
1,-0.402225251,-0.763320311,"E"
0,0.443578688,-0.654063406,"E"
1,0.800882913,-0.951307557,"E"
1,-0.441508023,-0.776699173,"E"
1,-0.441508023,-0.307850638,"E"
1,2.298146265,-0.966026702,"E"
0,2.298146265,-0.825051612,"E"
1,0.951840499,-0.771319755,"E"
0,2.298146265,-0.78391343,"E"
1,0.951840499,-0.66709612,"E"
1,1.63561594,-1.008163239,"E"
0,0.644441604,-0.774733439,"E"
0,0.644441604,-0.748558778,"E"
0,1.63561594,-0.949273668,"E"
1,0.433714884,-0.585294928,"E"
1,-0.807089566,-0.86367869,"E"
1,0.433714884,-0.818159436,"E"
0,-0.317762119,-0.995718223,"E"
1,-0.810434982,-0.695719395,"E"
1,-0.810434982,-0.559198932,"E"
0,1.252376119,-0.969406109,"E"
0,1.252376119,-0.657149167,"E"
0,1.218921959,-0.505579974,"E"
0,-0.145111062,-0.923567833,"E"
0,-0.145111062,-0.735372439,"E"
1,-0.672376216,-1.019141826,"E"
0,-0.690344894,-1.035643973,"E"
1,0.175186654,-0.736402108,"E"
1,0.175186654,-0.947684721,"E"
1,0.837130668,-0.751110975,"E"
0,2.539395594,-0.588402547,"E"
0,2.539395594,-0.634242664,"E"
1,1.301729627,-0.773571845,"E"
0,-0.558839005,-0.810507263,"E"
0,0.772050256,-0.796367201,"E"
0,-0.636645794,-0.923981053,"E"
1,-0.199258517,-0.899688857,"E"
