"CID","IAUName","Type","z","Color","e_Color","Stretch","e_Stretch","HR","e_HR","DR8-OBJID","BPT","LogMass","e_LogMass","LogMet","e_LogMet","LogSSFR","e_LogSSFR","GFF","Source"
15868,"2006pa","S",0.25,-0.23,0.03,0.31,0.24,0.29,0.09,1237663783140328192,1,10.39,0.1,8.89,0.07,-9.17,0.12,0.14,"BOSS"
15872,"2006nb","S",0.21,-0.07,0.04,0.75,0.31,-0.06,0.09,1237663783676609024,1,9.66,0.09,8.92,0.04,-10.17,0.1,0.42,"BOSS"
15892,"...","P",0.18,0.18,0.06,-1.7,0.42,-0.15,0.13,1237678617401688832,1,10.83,0.06,8.96,0.03,-9.26,0.06,0.17,"BOSS"
15897,"2006pb","S",0.17,0.01,0.04,-2.41,0.26,-0.03,0.1,1237657189836587264,3,10.82,0.1,-999,-999,-999,-999,0.33,"BOSS"
15901,"2006od","S",0.2,-0.05,0.03,0.01,0.26,0.01,0.08,1237666407382647296,0,9.97,0.09,8.14,108.08,-4.62,0.56,0.2,"BOSS"
15909,"...","P",0.22,0.05,0.04,-1.09,0.33,-0.17,0.12,1237663204919148800,3,11.21,0.09,-999,-999,-999,-999,0.29,"BOSS"
15950,"...","P",0.22,0.05,0.05,-1.27,0.47,-0.23,0.14,1237663278467318016,2,11.34,0.05,9,0.03,-9.81,0.06,0.23,"SDSS"
16021,"2006nc","S",0.12,-0.04,0.02,-0.34,0.13,-0.05,0.06,1237663783666581760,1,10.14,0.07,8.99,0.03,-9.98,0.07,0.15,"BOSS"
16069,"2006nd","S",0.13,0.16,0.03,0.89,0.22,-0.06,0.06,1237656906346856704,1,10.84,0.05,8.98,0.03,-9.23,0.06,0.32,"SDSS"
16073,"2006of","S",0.15,-0.02,0.02,0.74,0.14,0.18,0.06,1237663782590349568,1,9.75,0.09,8.82,0.06,-9.34,0.09,0.28,"BOSS"
16099,"2006nn","S",0.2,0.02,0.02,2.04,0.4,0.11,0.08,1237663782598345216,1,10.66,0.09,8.53,0.33,-10.84,0.2,0.32,"SDSS"
16172,"...","P",0.22,0.1,0.06,0.81,0.59,0.15,0.16,1237663238205407744,1,11.06,0.08,8.95,0.07,-9.91,0.08,0.27,"SDSS"
16185,"2006ok","S",0.1,0.06,0.03,-2.23,0.21,0.01,0.07,1237663783667892992,0,9.72,0.09,8.48,0.2,-10.46,0.4,0.39,"BOSS"
16199,"...","P",0.28,0.06,0.06,0.33,0.74,-0.23,0.16,1237678595931177472,1,10.07,0.13,9.03,0.06,-9.94,0.15,0.33,"BOSS"
16219,"...","P",0.26,0.01,0.06,-0.9,0.61,0.02,0.18,1237663204916789504,2,11.17,0.11,-999,-999,-9.49,0.28,0.31,"BOSS"
16410,"...","P",0.29,-0.1,0.07,0.05,1.04,0.18,0.19,1237678617400181760,1,11.05,0.09,9.08,0.07,-10.2,0.11,0.28,"BOSS"
16462,"...","P",0.24,0.01,0.05,-1.38,0.44,-0.22,0.13,1237663783667958016,0,11.58,0.09,-999,-999,-8.3,0.3,0.29,"SDSS"
16467,"...","P",0.22,0.02,0.05,-1.83,0.47,-0.16,0.14,1237663479256711168,3,11.06,0.08,-999,-999,-999,-999,0.3,"BOSS"
16606,"...","P",0.23,0.16,0.08,-0.8,0.82,0.07,0.2,1237678617410208512,3,10.41,0.17,-999,-999,-999,-999,0.32,"BOSS"
16739,"...","P",0.27,-0.01,0.04,0.93,0.62,0.26,0.14,1237656567042277632,1,10.28,0.1,9.04,0.04,-9.5,0.11,0.42,"BOSS"
17168,"2007ik","S",0.19,-0.04,0.03,0.54,0.31,0.13,0.1,1237660024494883584,1,9.76,0.09,8.55,0.08,-9.21,0.1,0.23,"BOSS"
