"CID","IAUName","Type","z","Color","e_Color","Stretch","e_Stretch","HR","e_HR","DR8-OBJID","BPT","LogMass","e_LogMass","LogMet","e_LogMet","LogSSFR","e_LogSSFR","GFF","Source"
18749,"2007mb","S",0.19,0.06,0.03,-1.41,0.39,-0.07,0.1,1237663204919672832,3,11.17,0.08,-999,-999,-999,-999,0.24,"BOSS"
18787,"2007mf","S",0.19,0.04,0.03,0.18,0.45,0.35,0.1,1237657069549519104,2,11.07,0.13,8.96,0.1,-10.22,0.15,0.17,"BOSS"
18804,"2007me","S",0.2,-0.06,0.02,0.91,0.2,-0.11,0.07,1237666407379763712,3,10.3,0.08,-999,-999,-999,-999,0.14,"BOSS"
18809,"2007mi","S",0.13,-0.08,0.03,-1.17,0.18,-0.01,0.11,1237666301629563136,10,11.14,0.09,-999,-999,-11.17,0.34,0.38,"SDSS"
18835,"2007mj","S",0.12,-0.01,0.03,0.76,0.11,-0.05,0.06,1237666301093937408,3,10.79,0.1,-999,-999,-999,-999,0.31,"SDSS"
18855,"2007mh","S",0.13,-0.03,0.03,0.25,0.15,0.02,0.06,1237666301091709440,2,10.37,0.06,9.09,0.08,-9.98,0.07,0.29,"SDSS"
18940,"2007sb","S",0.21,-0.02,0.03,-0.88,0.23,-0.1,0.08,1237657191446610176,1,10.23,0.08,8.98,0.06,-9.82,0.09,0.16,"BOSS"
18965,"2007ne","S",0.21,-0.12,0.03,-0.61,0.23,0.05,0.09,1237666340798202112,3,10.63,0.12,9.12,0.04,-9.96,0.13,0.27,"BOSS"
18971,"...","P",0.27,0.05,0.06,-1.51,0.62,-0.03,0.18,1237680099166912768,0,11.19,0.16,9.09,0.08,-10.44,0.22,0.28,"BOSS"
19000,"...","P",0.29,-0.06,0.04,0.86,0.38,-0.09,0.12,1237657070089994752,10,9.89,0.13,-999,-999,-9.11,0.14,0.4,"BOSS"
19002,"2007nh","S",0.27,-0.09,0.03,0.34,0.32,-0.07,0.1,1237657070092025856,3,10.72,0.09,-999,-999,-999,-999,0.43,"BOSS"
19027,"2007my","S",0.29,0,0.03,0.55,0.56,-0.36,0.14,1237656568119231232,1,9.59,0.14,8.37,0.27,-9.01,0.15,0.37,"BOSS"
19051,"2007nb","S",0.28,-0.04,0.03,0.73,0.3,-0.06,0.09,1237663277923959040,3,11.29,0.11,-999,-999,-999,-999,0.3,"BOSS"
19052,"...","P",0.29,-0.06,0.08,-1.71,0.76,0.1,0.25,1237663277924811264,3,10.13,0.15,-999,-999,-999,-999,0.2,"BOSS"
19149,"2007ni","S",0.21,-0.02,0.03,1.05,0.19,-0.42,0.07,1237663783674315008,1,9.61,0.1,8.71,0.08,-8.97,0.11,0.33,"BOSS"
19274,"...","P",0.25,0.07,0.05,-0.42,0.81,0.17,0.18,1.237666407366e+18,1,10.05,0.12,9.07,0.06,-9.59,0.13,0.39,"BOSS"
19341,"2007nf","S",0.24,0.01,0.04,-1.48,0.36,-0.1,0.13,1237666339725508864,3,11.02,0.09,9.65,0.09,-15.1,2.03,0.34,"BOSS"
19347,"...","P",0.26,-0.01,0.04,-0.28,0.51,0.14,0.13,1237657071160590848,10,9.71,0.14,8.33,0.47,-9.23,0.17,0.21,"BOSS"
19353,"2007nj","S",0.15,0.04,0.03,0.91,0.21,-0.01,0.07,1237657586562105600,1,11,0.06,8.88,0.06,-9.61,0.07,0.2,"SDSS"
19414,"...","P",0.29,0.2,0.07,1.31,1.15,-0.06,0.28,1237663479258022912,2,11.19,0.14,9.24,0.1,-12.14,0.19,0.25,"BOSS"
19616,"2007ok","S",0.17,-0.03,0.03,0.14,0.19,-0.07,0.06,1237663784213610752,1,11.04,0.05,8.99,0.02,-9.17,0.05,0.35,"SDSS"
19652,"...","P",0.25,0.22,0.07,-0.99,0.67,-0.28,0.18,1237663278459322880,1,10.15,0.1,8.79,0.08,-9.31,0.11,0.2,"BOSS"
19708,"...","P",0.24,-0.04,0.04,-0.91,0.31,-0.4,0.1,1237657587098583296,3,10.91,0.09,-999,-999,-999,-999,0.42,"BOSS"
19723,"...","P",0.26,-0.02,0.04,-0.44,0.37,0.03,0.11,1237663543686725888,1,10.16,0.09,9,0.03,-8.56,0.1,0.36,"BOSS"
19769,"...","P",0.25,0.17,0.05,-0.4,0.62,-0.34,0.15,1237656906350919936,1,10.28,0.12,8.95,0.05,-9.71,0.13,0.27,"BOSS"
19775,"2007pc","S",0.14,0.09,0.03,-0.22,0.2,-0.03,0.07,1237678617399853568,0,10.49,0.11,8.9,0.05,-10.09,0.12,0.35,"BOSS"
19821,"...","P",0.27,-0.1,0.05,-0.91,0.43,0.15,0.16,1237663278463189760,2,10.54,0.12,9.01,0.1,-10.31,0.15,0.4,"BOSS"
19969,"2007pt","S",0.18,0.02,0.03,0.06,0.25,-0.08,0.07,1237663783674511360,1,10.37,0.07,9.02,0.03,-9.11,0.08,0.49,"SDSS"
19990,"2007ps","S",0.25,-0.09,0.04,-1.28,0.35,0.05,0.12,1237663783675757056,0,10.63,0.18,9.24,0.14,-12.23,0.32,0.39,"BOSS"
20033,"...","P",0.25,0.08,0.04,-0.85,0.54,-0.2,0.13,1237663783133708800,0,10.62,0.09,9.11,0.17,-11.31,0.15,0.38,"BOSS"
20040,"2007rf","S",0.29,-0.11,0.05,1.14,0.73,0,0.16,1237678617404179712,3,10.26,0.14,-999,-999,-999,-999,0.46,"BOSS"
20046,"...","P",0.26,0.01,0.04,1.64,0.53,0.06,0.13,1.237663544216e+18,1,10.03,0.1,8.97,0.05,-9,0.12,0.44,"BOSS"
20048,"2007pq","S",0.19,0.01,0.04,-0.68,0.52,0.07,0.12,1237663544223793408,1,10.86,0.09,9.3,0.13,-13.66,0.53,0.37,"BOSS"
20051,"2007pv","S",0.24,0,0.04,2.94,0.74,0.33,0.15,1237678595929801216,1,9.95,0.08,8.82,0.04,-9.19,0.08,0.32,"BOSS"
