"name","zcmb","zhel","dz","mb","dmb","x1","dx1","color","dcolor","X3rdvar","d3rdvar","tmax","dtmax","cov_m_s","cov_m_c","cov_s_c","set","ra","dec","biascor"
"SDSS16352",0.24647,0.248,0,20.845774,0.115433,0.273411,0.849504,-0.141815,0.039512,9.769,0.5475,54059.082427,0.673456,0.01641,0.001047,0.014561,2,-13.750642,-0.873365,-0.000534
"SDSS16402",0.28845,0.29,0,20.859757,0.116661,-0.872064,0.779949,-0.186671,0.042448,10.996,0.0995,54059.492014,0.554159,0.016799,0.00103,0.012985,2,-23.63228,0.265275,-0.000213
"SDSS16473",0.2096,0.211,0,20.739132,0.115465,-1.073325,0.867789,-0.148416,0.041364,9.907,0.239,54062.360432,0.840318,0.004784,0.000872,0.014738,2,-31.387848,0.588515,-0.000861
"SDSS16618",0.19198,0.1932,0,20.466522,0.114573,-0.792727,0.603726,-0.09709,0.032471,9.907,0.1215,54067.262264,0.701596,-0.000817,0.000515,0.008545,2,21.279373,-1.218938,-0.001002
"SDSS16619",0.11402,0.1151,0,19.173326,0.11346,-0.191925,0.593399,-0.08585,0.027195,8.332,0.7255,54069.581329,0.683113,-0.007744,0.000289,0.009223,2,25.938738,-1.111919,-0.0012
"SDSS16641",0.11389,0.115,0,19.719269,0.113093,1.053347,0.621248,0.039734,0.029796,10.477,0.166,54069.197859,0.628262,0.002892,0.000595,0.010691,2,23.56123,-0.403632,-0.001199
"SDSS16737",0.1988,0.2,0,20.519882,0.124264,-0.44361,0.714551,-0.075727,0.045945,10.07,0.369,54068.757201,0.946165,-0.008166,0.000504,0.010785,2,-47.16732,-0.952322,-0.00095
"SDSS16793",0.22058,0.222,0,20.764062,0.138465,0.524838,1.379829,-0.051257,0.050845,5,10,54070.762749,1.932449,-0.044995,0.000478,0.020375,2,-31.424644,0.44701,-0.000765
"SDSS17168",0.18257,0.184,0,20.59859,0.115147,0.503374,0.302924,-0.039676,0.032445,9.52,0.16,54356.947904,0.286887,0.005314,0.000828,0.001011,2,-20.276196,-1.167083,-0.001069
"SDSS17171",0.15895,0.16027,0,19.93795,0.145393,-0.384727,0.34296,-0.141622,0.041138,10.628,0.009,54340.661534,1.432067,-0.00288,0.003042,-0.000371,2,-33.497959,-1.21773,-0.001195
"SDSS17186",0.07849,0.07944,0,19.240437,0.113854,0.642723,0.148902,0.111359,0.024312,10.562,0.164,54353.810894,0.18679,0.001927,0.000619,0.000107,2,31.612825,-0.89955,-0.000888
"SDSS17208",0.13864,0.14,0,19.983006,0.119461,0.836869,0.362615,-0.068099,0.029302,8.2,0.576,54342.030357,1.034356,-0.007419,0.001053,-0.001128,2,1.491593,1.103086,-0.001243
